Genome-ID,Oral_Taxon-ID,Genus,Species,SubSpecies,Strain,No. Contigs,Total Length,MAG,Assembly Level,GC %,Genus_for_pathogen,is_pathogen
GCA_000160075.2,HMT-389,Abiotrophia,defectiva,,ATCC 49176,4,2043439,,Scaffold,47.02,abiotrophia,0
GCA_013267415.1,HMT-389,Abiotrophia,defectiva,,FDAARGOS_785,1,2046826,,Complete Genome,47.0,abiotrophia,0
GCA_026783725.1,HMT-389,Abiotrophia,defectiva,,D14035481,14,2019498,,Contig,46.9,abiotrophia,0
GCA_937930255.1,HMT-389,Abiotrophia,defectiva,,ERR589701_bin.29_CONCOCT_v1.1_MAG,122,2043240,yes,Contig,46.81,abiotrophia,0
GCA_946222135.1,HMT-389,Abiotrophia,defectiva,,qftHktE6oN_bin.12.MAG,121,1974280,yes,Contig,46.93,abiotrophia,0
GCA_001815865.1,HMT-427,Abiotrophia,sp. HMT-427,,HMSC24B09,31,2020784,,Scaffold,46.65,abiotrophia,0
GCA_015259565.1,HMT-427,Abiotrophia,sp. HMT-427,,JCVI_32_bin.17,93,2016058,yes,Contig,46.83,abiotrophia,0
GCA_015259595.1,HMT-427,Abiotrophia,sp. HMT-427,,JCVI_44_bin.32,83,1940269,yes,Contig,46.88,abiotrophia,0
GCA_030825925.1,HMT-427,Abiotrophia,sp. HMT-427,,RAGGC_103,45,1825944,,Scaffold,46.85,abiotrophia,0
GCA_905372995.1,HMT-427,Abiotrophia,sp. HMT-427,,SRR9217435-mag-bin.2,142,1841231,yes,Contig,46.95,abiotrophia,0
GCA_003260355.1,HMT-345,Absconditicoccaceae [G1],bacterium HMT-345,,HOT-345,3,1144105,,Contig,38.21,absconditicoccaceae [g1],0
GCA_938045525.1,HMT-345,Absconditicoccaceae [G1],bacterium HMT-345,,ERR589616_bin.43_CONCOCT_v1.1_MAG,32,1161792,yes,Contig,38.34,absconditicoccaceae [g1],0
GCA_013333605.2,HMT-874,Absconditicoccaceae [G1],bacterium HMT-874,,P-B-M_MAG_00018,61,999858,yes,Contig,35.8,absconditicoccaceae [g1],0
GCA_013333915.2,HMT-874,Absconditicoccaceae [G1],bacterium HMT-874,,P-A-F_MAG_00010,17,1012013,yes,Contig,35.61,absconditicoccaceae [g1],0
GCA_013333295.2,HMT-875,Absconditicoccaceae [G1],bacterium HMT-875,,T-B-F_MAG_00004,42,912690,yes,Contig,35.35,absconditicoccaceae [g1],0
GCA_015258205.1,HMT-875,Absconditicoccaceae [G1],bacterium HMT-875,,JCVI_11_bin.10,82,897004,yes,Contig,35.36,absconditicoccaceae [g1],0
GCA_916048315.1,HMT-875,Absconditicoccaceae [G1],bacterium HMT-875,,ERR2764810_bin.2_metaWRAP_v1.1_MAG,10,976124,yes,Contig,35.47,absconditicoccaceae [g1],0
GCA_916720055.1,HMT-875,Absconditicoccaceae [G1],bacterium HMT-875,,SRR15235650_bin.7_metaWRAP_v1.1_MAG,113,800111,yes,Contig,35.29,absconditicoccaceae [g1],0
GCA_937989475.1,HMT-875,Absconditicoccaceae [G1],bacterium HMT-875,,SRR8114094_bin.42_CONCOCT_v1.1_MAG,8,985380,yes,Contig,34.99,absconditicoccaceae [g1],0
GCA_000503875.1,HMT-991,Absconditicoccaceae [G2],bacterium HMT-991,,RAAC1_SR1_1,1,1177760,,Complete Genome,31.06,absconditicoccaceae [g2],0
GCA_000165835.1,HMT-343,Achromobacter,xylosoxidans,,A8,3,7359146,,Complete Genome,65.78,achromobacter,0
GCA_000508285.1,HMT-343,Achromobacter,xylosoxidans,,NBRC 15126 = ATCC 27061,1,6683584,,Complete Genome,67.53,achromobacter,0
GCA_001457475.1,HMT-343,Achromobacter,xylosoxidans,,NCTC10807,1,6813182,,Complete Genome,67.38,achromobacter,0
GCA_001598595.1,HMT-343,Achromobacter,xylosoxidans,,NBRC 15126,63,6792737,,Contig,67.4,achromobacter,0
GCA_013343135.1,HMT-343,Achromobacter,xylosoxidans,,FDAARGOS_789,1,6806438,,Complete Genome,67.37,achromobacter,0
GCA_022870085.1,HMT-343,Achromobacter,xylosoxidans,,PartM-Axylosoxidans-RM8376,1,6813185,,Complete Genome,67.38,achromobacter,0
GCA_900009115.1,HMT-343,Achromobacter,xylosoxidans,,AX_NCIMB_11015_WG,1,6501194,,Complete Genome,67.49,achromobacter,0
GCA_000015545.1,HMT-209,Acidovorax,ebreus,,JS42,3,4585154,,Complete Genome,66.09,acidovorax,0
GCA_000022305.1,HMT-209,Acidovorax,ebreus,,TPSY,1,3796573,,Complete Genome,66.83,acidovorax,0
GCA_001023515.1,HMT-209,Acidovorax,ebreus,,J5-51,141,3794153,,Contig,66.21,acidovorax,0
GCA_002214645.1,HMT-209,Acidovorax,ebreus,,SL-205,1,4061276,,Complete Genome,66.65,acidovorax,0
GCA_002916785.1,HMT-209,Acidovorax,ebreus,,LR2014-1,87,4557463,,Contig,66.01,acidovorax,0
GCA_003755025.1,HMT-209,Acidovorax,ebreus,,DSM 15985,16,3654005,,Contig,66.84,acidovorax,0
GCA_013154915.1,HMT-209,Acidovorax,ebreus,,JS3050,2,4032523,,Complete Genome,66.49,acidovorax,0
